source_variable,nhanes_code,nhanes_label,observed_count,review_decision,approved_relation,approved_ncit_code,approved_ncit_label,approved_ncit_iri,requires_clinical_note,reviewer_comment,reviewer_name,review_date,graph_assertion_allowed,assertion_kind,clinical_caveat_policy,assertion_status,evidence_files
cancer_type_code,10,Bladder,26,accept_with_note,broadMatch,C9334,Malignant Bladder Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9334,yes,different histologic types,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,11,Blood,5,accept_with_note,broadMatch,C27134,Hematopoietic and Lymphoid Cell Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27134,yes,"many types according to affected cells, genetics and molecular features, different prognosis and survival rates",KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,12,Bone,8,accept_with_note,broadMatch,C4016,Malignant Bone Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4016,yes,includes primary and metastatic bone lesions,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,13,Brain,6,accept_with_note,broadMatch,C3568,Malignant Brain Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3568,yes,different histologic types,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,14,Breast,168,accept,closeMatch,C4872,Breast Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4872,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,15,Cervix (cervical),70,accept,closeMatch,C9039,Cervical Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9039,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,16,Colon,68,accept,closeMatch,C4910,Colon Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4910,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,17,Esophagus (esophageal),8,accept,closeMatch,C3513,Esophagus (esophageal),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3513,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,18,Gallbladder,0,accept,closeMatch,C3844,Gallbladder Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3844,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,19,Kidney,22,accept_with_note,broadMatch,C9384,Kidney Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9384,yes,different histologic types,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,20,Larynx/ windpipe,10,accept,closeMatch,C4855,Laryngeal Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4855,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,21,Leukemia,7,accept_with_note,broadMatch,C3161,Leukemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3161,yes,"broad category which includes different entities with different prognosis, survival rates and quality of life",KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,22,Liver,6,accept_with_note,closeMatch,C7927,Liver Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7927,yes,includes liver and bile duct cancer?,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,23,Lung,35,accept_with_note,broadMatch,C4878,Lung Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4878,yes,"different histologic types with different prognosis, survival rates and quality of life",KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,24,Lymphoma/ Hodgkin's disease,26,needs_more_information,reviewNeeded,C3208,Lymphoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3208,yes,different types with different prognosis and survival rates,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_needs_more_information_or_revision,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,25,Melanoma,75,accept,closeMatch,C3224,Melanoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3224,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,26,Mouth/tongue/lip,5,accept,broadMatch,C8990,Oral Cavity Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8990,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,27,Nervous system,0,revise,reviewNeeded,,,,,,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_needs_more_information_or_revision,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,28,Ovary (ovarian),22,accept,closeMatch,C4908,Ovarian Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4908,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,29,Pancreas (pancreatic),7,accept,closeMatch,C207229,Pancreatic Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C207229,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,30,Prostate,157,accept,closeMatch,C4863,Prostate Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4863,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,31,Rectum (rectal),6,accept,closeMatch,C9382,Rectal Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9382,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,32,Skin (non-melanoma),166,revise,reviewNeeded,,,,,,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_needs_more_information_or_revision,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,33,Skin (don't know what kind),95,needs_more_information,broadMatch,C4914,Skin carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4914,yes,"different histologic types with different prognosis, qlaity of life and survival rates",KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_needs_more_information_or_revision,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,34,Soft tissue (muscle or fat),4,accept,broadMatch,C9306,Soft Tissue Sarcoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9306,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,35,Stomach,12,accept,closeMatch,C4911,Gastric Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4911,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,36,Testis (testicular),8,accept,broadMatch,C7251,Malignant Testicular Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7251,yes,includes many histologic types,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,37,Thyroid,26,accept_with_note,broadMatch,C4815,Thyroid Gland Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4815,yes,"includes different histologic types with different prognosis, quality of life and survival rates",KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,38,Uterus (uterine),40,accept,broadMatch,C3552,Malignant Uterine Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3552,no,,KAZAZIS,2026-08-23,yes,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",reviewed_qualified_mapping_asserted,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,39,Other,62,reject,notMapped,,,,,,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_rejected_or_not_mapped,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,66,More than 3 kinds,2,reject,closeMatch,C45427,Malignant Neoplasm of Multiple Primary Sites,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45427,no,,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_rejected_or_not_mapped,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,77,Refused,0,,,,,,,,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_no_completed_approval,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
cancer_type_code,99,Don't know,0,,,,,,,,KAZAZIS,2026-08-23,no,qualified_mapping_from_self_reported_source_code,"NCIt IRIs are reviewed mappings from self-reported NHANES cancer-type codes. They are not registry-confirmed diagnoses, histology confirmations, staging, treatment, recurrence, or current disease-status assertions. The second oncologist review recommends preserving source-level site information and not inferring histology from prevalence.",not_asserted_no_completed_approval,docs/review/evidence/expert review of cancer codes 1.xlsx; docs/review/evidence/expert review of cancer codes 2.rtf
