source_table,source_variable,code_value,source_label,normalized_label,kg_property,kg_class,mapping_status,external_vocabulary,external_candidate_id,external_candidate_label,observed_count,source_url,notes
participants.csv,RIAGENDR,1,Male,male,cskg:hasGenderCode,cskg:Participant,source label ready,,,,479,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIAGENDR,2,Female,female,cskg:hasGenderCode,cskg:Participant,source label ready,,,,556,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH1,1,Mexican American,Mexican American,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,63,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH1,2,Other Hispanic,Other Hispanic,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,68,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH1,3,Non-Hispanic White,Non-Hispanic White,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,669,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH1,4,Non-Hispanic Black,Non-Hispanic Black,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,168,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH1,5,Other Race - Including Multi-Racial,Other Race - Including Multi-Racial,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,67,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH3,1,Mexican American,Mexican American,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,63,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH3,2,Other Hispanic,Other Hispanic,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,68,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH3,3,Non-Hispanic White,Non-Hispanic White,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,669,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH3,4,Non-Hispanic Black,Non-Hispanic Black,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,168,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH3,6,Non-Hispanic Asian,Non-Hispanic Asian,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,46,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,RIDRETH3,7,Other Race - Including Multi-Racial,Other Race - Including Multi-Racial,cskg:hasRaceEthnicityCode,cskg:Participant,source label ready,,,,21,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/demo_g.htm; https://wwwn.cdc.gov/nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm,
participants.csv,MCQ220,1,Yes,yes,cskg:hasCancerHistoryCode,cskg:Participant,source label ready,,,,1035,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,Cancer history is self-reported; not registry-confirmed.
participants.csv,MCQ220,2,No,no,cskg:hasCancerHistoryCode,cskg:Participant,source label ready,,,,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,Cancer history is self-reported; not registry-confirmed.
participants.csv,MCQ220,7,Refused,refused,cskg:hasCancerHistoryCode,cskg:Participant,source label ready,,,,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,Cancer history is self-reported; not registry-confirmed.
participants.csv,MCQ220,9,Don't know,don't know,cskg:hasCancerHistoryCode,cskg:Participant,source label ready,,,,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,Cancer history is self-reported; not registry-confirmed.
cancer_diagnoses.csv,cancer_type_code,10,Bladder,bladder,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Bladder cancer,26,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,11,Blood,blood,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Blood cancer,5,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,12,Bone,bone,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Bone cancer,8,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,13,Brain,brain,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Brain cancer,6,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,14,Breast,breast,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Breast cancer,168,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,15,Cervix (cervical),cervix (cervical),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Cervix (cervical) cancer,70,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,16,Colon,colon,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Colon cancer,68,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,17,Esophagus (esophageal),esophagus (esophageal),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Esophagus (esophageal) cancer,8,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,18,Gallbladder,gallbladder,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Gallbladder cancer,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,19,Kidney,kidney,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Kidney cancer,22,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,20,Larynx/ windpipe,larynx or  windpipe,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Larynx/ windpipe cancer,10,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,21,Leukemia,leukemia,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Leukemia,7,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,22,Liver,liver,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Liver cancer,6,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,23,Lung,lung,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Lung cancer,35,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,24,Lymphoma/ Hodgkin's disease,lymphoma or  hodgkin's disease,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Lymphoma or Hodgkin disease,26,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,25,Melanoma,melanoma,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Melanoma,75,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,26,Mouth/tongue/lip,mouth or tongue or lip,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Mouth/tongue/lip cancer,5,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,27,Nervous system,nervous system,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Nervous system cancer,0,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,28,Ovary (ovarian),ovary (ovarian),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Ovary (ovarian) cancer,22,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,29,Pancreas (pancreatic),pancreas (pancreatic),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Pancreas (pancreatic) cancer,7,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,30,Prostate,prostate,cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Prostate cancer,157,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,31,Rectum (rectal),rectum (rectal),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Rectum (rectal) cancer,6,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,32,Skin (non-melanoma),skin (non-melanoma),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; NCIt pending,NCIt,,Skin (non-melanoma) cancer,166,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label mapped; exact NCIt concept ID still requires ontology review.
cancer_diagnoses.csv,cancer_type_code,33,Skin (don't know what kind),skin (don't know what kind),cskg:hasCancerTypeCode,cskg:CancerDiagnosis,source label ready; needs expert/ontology review,NCIt,,,95,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/MCQ_G.htm; https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm,NHANES source label is ambiguous and should not be mapped to a precise cancer concept without review.
