stage,cycle,n
all_nhanes_participants,2011-2012,9756
age_20_or_older,2011-2012,5560
mcq220_cancer_history,2011-2012,488
available_paxhd,2011-2012,462
available_paxday,2011-2012,406
available_paxmin,2011-2012,406
all_nhanes_participants,2013-2014,10175
age_20_or_older,2013-2014,5769
mcq220_cancer_history,2013-2014,547
available_paxhd,2013-2014,530
available_paxday,2013-2014,472
available_paxmin,2013-2014,472
age_20_or_older,total,11329
all_nhanes_participants,total,19931
available_paxday,total,878
available_paxhd,total,992
available_paxmin,total,878
mcq220_cancer_history,total,1035
