SEQN,cycle,paired_days,mean_daily_mims,mean_daily_actilife_steps,mean_nonmissing_step_minutes,mean_positive_step_minutes
62174,2011-2012,9,7157.632777777778,4820.444444444444,1281.0,669.2222222222222
62179,2011-2012,2,5681.822499999999,5664.5,709.5,413.5
62222,2011-2012,9,8432.633777777775,7679.222222222223,1281.111111111111,712.0
62256,2011-2012,4,3526.7795,2420.0,829.5,348.5
62284,2011-2012,9,14724.985888888888,15299.444444444445,1281.0,759.3333333333334
62293,2011-2012,9,5929.118666666666,4321.666666666667,1281.0,498.44444444444446
62347,2011-2012,9,14414.11777777778,12025.666666666666,1281.0,726.5555555555555
62353,2011-2012,9,9905.250444444442,7893.222222222223,1281.0,674.4444444444445
62373,2011-2012,9,3856.9136666666664,2434.3333333333335,1281.111111111111,478.8888888888889
62377,2011-2012,9,7349.702,5277.555555555556,1281.0,612.8888888888889
62378,2011-2012,9,7015.0285555555565,5623.333333333333,1281.0,574.8888888888889
62439,2011-2012,9,6476.763,5185.111111111111,1281.0,505.3333333333333
62509,2011-2012,9,11765.311777777777,10612.0,1281.0,716.1111111111111
62531,2011-2012,9,8231.503666666666,7415.555555555556,1281.0,692.5555555555555
62532,2011-2012,9,6033.573111111112,4287.222222222223,1281.111111111111,568.8888888888889
62567,2011-2012,9,11165.492555555556,8758.333333333334,1281.111111111111,705.3333333333334
62599,2011-2012,9,13082.100999999999,10374.444444444445,1281.111111111111,819.4444444444445
62601,2011-2012,9,9890.014111111112,12333.888888888889,1281.111111111111,705.3333333333334
62623,2011-2012,9,10204.550666666668,8370.222222222223,1281.0,629.1111111111111
62650,2011-2012,9,9266.981222222223,7280.333333333333,1281.0,771.1111111111111
62651,2011-2012,9,7943.535666666667,7222.666666666667,1281.0,585.7777777777778
62704,2011-2012,9,6804.72,5388.0,1281.0,644.8888888888889
62727,2011-2012,9,6819.678888888889,5065.555555555556,1281.0,493.77777777777777
62804,2011-2012,9,8264.435222222222,10065.666666666666,1281.0,644.8888888888889
62813,2011-2012,9,6304.366222222222,5006.777777777777,1281.0,488.77777777777777
62841,2011-2012,9,6670.248444444444,4520.777777777777,1281.111111111111,631.8888888888889
62861,2011-2012,9,8466.004666666668,6010.444444444444,1281.0,658.8888888888889
62899,2011-2012,9,19360.019666666667,17419.777777777777,1281.0,723.1111111111111
62948,2011-2012,9,6617.485444444445,4639.0,1281.0,556.0
62982,2011-2012,9,11147.862333333333,9430.444444444445,1281.0,744.2222222222222
63015,2011-2012,9,11836.995777777778,12078.666666666666,1281.0,770.4444444444445
63017,2011-2012,9,3107.719777777778,2027.111111111111,1281.111111111111,309.8888888888889
63094,2011-2012,9,9241.223222222223,8360.888888888889,1281.0,716.1111111111111
63124,2011-2012,9,9159.816666666668,8094.0,1281.111111111111,693.7777777777778
63198,2011-2012,9,5379.437555555556,4805.111111111111,1281.111111111111,519.1111111111111
63200,2011-2012,9,8008.201111111111,6030.777777777777,1281.0,596.2222222222222
63212,2011-2012,9,7328.514777777778,5282.666666666667,1281.0,690.6666666666666
63254,2011-2012,9,9259.645222222221,7087.555555555556,1281.111111111111,678.3333333333334
63267,2011-2012,9,4725.244222222222,2630.1111111111113,1281.0,436.6666666666667
63269,2011-2012,9,12916.755,9823.666666666666,1281.0,802.8888888888889
63360,2011-2012,9,4210.075000000001,2435.3333333333335,1281.0,402.44444444444446
63361,2011-2012,9,9150.728222222222,9524.111111111111,1281.111111111111,717.7777777777778
63390,2011-2012,9,6148.512333333333,5223.555555555556,1281.111111111111,528.0
63396,2011-2012,9,9082.695444444445,7760.222222222223,1281.111111111111,690.4444444444445
63409,2011-2012,9,9255.782555555556,6878.111111111111,1281.0,572.1111111111111
63413,2011-2012,8,11476.920624999999,9847.5,1244.75,786.25
63426,2011-2012,9,9935.63211111111,10391.888888888889,1281.111111111111,622.4444444444445
63438,2011-2012,9,8630.30577777778,8021.333333333333,1281.111111111111,692.7777777777778
63478,2011-2012,9,6444.985111111111,6013.777777777777,1281.0,518.5555555555555
63530,2011-2012,9,5973.985888888888,4532.333333333333,1281.0,589.1111111111111
63545,2011-2012,9,11697.641666666666,10109.0,1281.0,790.4444444444445
63566,2011-2012,9,6523.922888888889,5650.111111111111,1281.111111111111,455.6666666666667
63583,2011-2012,9,6687.801555555555,6040.333333333333,1281.0,601.7777777777778
63593,2011-2012,9,12805.204,12434.444444444445,1281.0,776.0
63611,2011-2012,9,3609.4244444444444,2643.8888888888887,1281.0,383.55555555555554
63632,2011-2012,9,9749.835222222224,6899.555555555556,1281.111111111111,818.0
63689,2011-2012,9,15294.453222222222,15773.555555555555,1281.111111111111,761.5555555555555
63704,2011-2012,9,6469.348333333332,4062.222222222222,1281.0,643.0
63759,2011-2012,9,9258.859222222221,8955.777777777777,1281.111111111111,690.2222222222222
63765,2011-2012,9,5368.435333333334,2496.5555555555557,1281.111111111111,662.0
63806,2011-2012,6,5712.192166666667,4098.166666666667,1242.0,605.6666666666666
63813,2011-2012,9,8738.221111111112,12488.333333333334,1281.111111111111,717.5555555555555
63838,2011-2012,9,8113.115666666667,6677.666666666667,1281.0,529.6666666666666
63844,2011-2012,9,6975.080555555555,5791.222222222223,1281.111111111111,591.6666666666666
63858,2011-2012,9,4682.970444444445,3878.1111111111113,1281.111111111111,274.55555555555554
63887,2011-2012,9,7517.55711111111,5638.777777777777,1281.0,634.3333333333334
63899,2011-2012,9,8698.653666666667,7192.444444444444,1281.0,661.4444444444445
63902,2011-2012,9,8731.853111111113,9793.888888888889,1281.111111111111,643.2222222222222
63907,2011-2012,9,9459.17888888889,9225.111111111111,1281.0,771.1111111111111
63942,2011-2012,9,18474.576333333334,14863.555555555555,1281.0,814.2222222222222
63958,2011-2012,9,13213.743555555555,11478.666666666666,1281.0,767.2222222222222
63964,2011-2012,9,7387.261555555557,6691.0,1281.111111111111,620.6666666666666
64003,2011-2012,9,8081.174000000001,6131.666666666667,1281.0,622.8888888888889
64059,2011-2012,9,9943.851666666666,6651.666666666667,1281.111111111111,746.2222222222222
64083,2011-2012,9,6223.453777777778,4967.444444444444,1281.0,501.0
64099,2011-2012,9,8884.113111111112,7766.666666666667,1281.111111111111,655.5555555555555
64141,2011-2012,9,5565.127777777778,4036.777777777778,1281.0,563.4444444444445
64142,2011-2012,9,4940.721333333333,5036.222222222223,1281.111111111111,474.6666666666667
64154,2011-2012,9,13993.353222222222,12405.111111111111,1281.111111111111,831.3333333333334
64172,2011-2012,9,5415.515555555556,5098.777777777777,1281.0,597.8888888888889
64191,2011-2012,9,8860.729777777779,6934.333333333333,1281.0,727.3333333333334
64197,2011-2012,9,2741.1903333333335,1372.888888888889,1281.0,360.22222222222223
64231,2011-2012,9,6170.958111111111,5138.111111111111,1280.7777777777778,557.3333333333334
64252,2011-2012,9,10207.807777777778,10558.888888888889,1281.111111111111,749.8888888888889
64263,2011-2012,9,9437.338222222223,8092.444444444444,1281.111111111111,642.4444444444445
64312,2011-2012,9,9653.92988888889,8515.555555555555,1281.0,778.8888888888889
64328,2011-2012,9,10582.195777777779,10164.222222222223,1281.111111111111,696.7777777777778
64329,2011-2012,9,9807.888222222224,7854.0,1281.111111111111,810.8888888888889
64335,2011-2012,9,8517.508666666667,6521.222222222223,1281.0,548.2222222222222
64370,2011-2012,9,16753.328222222222,14501.444444444445,1281.0,726.6666666666666
64376,2011-2012,9,15120.60811111111,12879.888888888889,1281.0,838.5555555555555
64396,2011-2012,9,11316.510333333332,11190.111111111111,1281.0,739.5555555555555
64399,2011-2012,9,10855.000000000002,9754.0,1281.111111111111,678.5555555555555
64412,2011-2012,9,8121.168333333333,4857.777777777777,1281.111111111111,536.5555555555555
64419,2011-2012,8,9991.550875,8638.25,1272.625,705.0
64430,2011-2012,9,11244.432555555557,8929.222222222223,1281.0,822.1111111111111
64433,2011-2012,9,6345.287666666667,4649.777777777777,1281.0,559.7777777777778
64439,2011-2012,9,9790.533,10497.555555555555,1281.111111111111,664.8888888888889
64473,2011-2012,9,10149.431555555555,10363.888888888889,1281.111111111111,806.2222222222222
64511,2011-2012,9,7982.873444444445,6732.555555555556,1281.111111111111,686.0
64534,2011-2012,9,12351.166888888889,9593.222222222223,1281.0,776.6666666666666
