Protocol,Evidence role,Support level,Source title,Supported component,Interpretation limit
wake_wear_10h_min4,source_variable_definition,direct_source_variable_support,NHANES 2011-2012 Physical Activity Monitor documentation,source variable PAXWWMD,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_10h_min4,source_variable_definition,direct_source_variable_support,NHANES 2013-2014 Physical Activity Monitor documentation,source variable PAXWWMD,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_10h_min4,literature_context,context_only_not_wrist_mims_validation,"Catalog of NHANES accelerometer rules, variables, and definitions",10h/day and min4-days context,Use only to justify why 10h/min4 is a reasonable sensitivity/completeness candidate to represent and test.
wake_wear_10h_min4,project_review_decision,local_project_review_support,Project protocol review sheet,project approval status,"Do not interpret as MVPA, sedentary, active/inactive, or clinical physical-activity classification."
wake_wear_12h_min4,source_variable_definition,direct_source_variable_support,NHANES 2011-2012 Physical Activity Monitor documentation,source variable PAXWWMD,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_12h_min4,source_variable_definition,direct_source_variable_support,NHANES 2013-2014 Physical Activity Monitor documentation,source variable PAXWWMD,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_12h_min4,literature_context,context_only_not_wrist_mims_validation,"Catalog of NHANES accelerometer rules, variables, and definitions",12h/day sensitivity context,Use only as rationale for retaining a stricter sensitivity rule.
wake_wear_12h_min4,project_review_decision,local_project_review_support,Project protocol review sheet,project approval status,"Do not interpret as MVPA, sedentary, active/inactive, or clinical physical-activity classification."
valid_minutes_20h_min4,source_variable_definition,direct_source_variable_support,NHANES 2011-2012 Physical Activity Monitor documentation,source variable PAXVMD,Use PAXVMD only as a valid minutes completeness input in this project.
valid_minutes_20h_min4,source_variable_definition,direct_source_variable_support,NHANES 2013-2014 Physical Activity Monitor documentation,source variable PAXVMD,Use PAXVMD only as a valid minutes completeness input in this project.
valid_minutes_20h_min4,literature_context,context_only_not_threshold_validation,Minute-level step counts and physical activity data from NHANES 2011-2014,24-hour wrist accelerometry context,Use only as context for representing a 24-hour completeness sensitivity rule.
valid_minutes_20h_min4,project_review_decision,local_project_review_support,Project protocol review sheet,project approval status,"Do not interpret as MVPA, sedentary, active/inactive, or clinical physical-activity classification."
