citation_id,protocol_id,citation_role,source_type,title,citation_text,source_url,cited_claim,supports_protocol_component,support_level,evidence_status,compatibility_warning,interpretation_limit
wake_wear_10h_min4_nhanes_2011_2012_paxwwmd,wake_wear_10h_min4,source_variable_definition,official_data_documentation,NHANES 2011-2012 Physical Activity Monitor documentation,National Center for Health Statistics. NHANES 2011-2012 Physical Activity Monitor documentation and codebook.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAXMIN_G.htm,NHANES day summary variable PAXWWMD represents valid wake wear minutes in the day.,source variable PAXWWMD,direct_source_variable_support,ready,Supports the source variable meaning only; does not validate the threshold as a clinical or activity-intensity definition.,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_10h_min4_nhanes_2013_2014_paxwwmd,wake_wear_10h_min4,source_variable_definition,official_data_documentation,NHANES 2013-2014 Physical Activity Monitor documentation,National Center for Health Statistics. NHANES 2013-2014 Physical Activity Monitor documentation and codebook.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAXMIN_H.htm,NHANES day summary variable PAXWWMD represents valid wake wear minutes in the day.,source variable PAXWWMD,direct_source_variable_support,ready,Supports the source variable meaning only; does not validate the threshold as a clinical or activity-intensity definition.,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_10h_min4_cdc_catalog_context,wake_wear_10h_min4,literature_context,review_article,"Catalog of NHANES accelerometer rules, variables, and definitions","Tudor-Locke C, Camhi SM, Troiano RP. A Catalog of Rules, Variables, and Definitions Applied to Accelerometer Data in NHANES, 2003-2006. Preventing Chronic Disease. 2012;9:110332.",https://www.cdc.gov/pcd/issues/2012/11_0332.htm,The review reports that 10 or more hours of wear time and four or more valid days were commonly used in NHANES 2003-2006 accelerometer analyses.,10h/day and min4-days context,context_only_not_wrist_mims_validation,ready,This source concerns earlier hip-worn activity-count NHANES accelerometry and does not validate wrist MIMS thresholds.,Use only to justify why 10h/min4 is a reasonable sensitivity/completeness candidate to represent and test.
wake_wear_10h_min4_project_review_decision,wake_wear_10h_min4,project_review_decision,local_review_artifact,Project protocol review sheet,Cancer Survivorship Knowledge Graphs project. Protocol review sheet generated by build_protocol_review.py.,docs/protocols/protocol_review_sheet.csv,"Protocol status: approved_completeness_rule. Reviewer comment: Accepted by project lead as baseline data completeness rule; not an active/inactive, MVPA, sedentary, or clinical physical activity classification.",project approval status,local_project_review_support,ready,Local review approval is limited to completeness/sensitivity analysis and is not external clinical validation.,"Do not interpret as MVPA, sedentary, active/inactive, or clinical physical-activity classification."
wake_wear_12h_min4_nhanes_2011_2012_paxwwmd,wake_wear_12h_min4,source_variable_definition,official_data_documentation,NHANES 2011-2012 Physical Activity Monitor documentation,National Center for Health Statistics. NHANES 2011-2012 Physical Activity Monitor documentation and codebook.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAXMIN_G.htm,NHANES day summary variable PAXWWMD represents valid wake wear minutes in the day.,source variable PAXWWMD,direct_source_variable_support,ready,Supports the source variable meaning only; does not validate the threshold as a clinical or activity-intensity definition.,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_12h_min4_nhanes_2013_2014_paxwwmd,wake_wear_12h_min4,source_variable_definition,official_data_documentation,NHANES 2013-2014 Physical Activity Monitor documentation,National Center for Health Statistics. NHANES 2013-2014 Physical Activity Monitor documentation and codebook.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAXMIN_H.htm,NHANES day summary variable PAXWWMD represents valid wake wear minutes in the day.,source variable PAXWWMD,direct_source_variable_support,ready,Supports the source variable meaning only; does not validate the threshold as a clinical or activity-intensity definition.,Use PAXWWMD only as a valid wake wear minutes completeness input in this project.
wake_wear_12h_min4_cdc_catalog_context,wake_wear_12h_min4,literature_context,review_article,"Catalog of NHANES accelerometer rules, variables, and definitions","Tudor-Locke C, Camhi SM, Troiano RP. A Catalog of Rules, Variables, and Definitions Applied to Accelerometer Data in NHANES, 2003-2006. Preventing Chronic Disease. 2012;9:110332.",https://www.cdc.gov/pcd/issues/2012/11_0332.htm,The review discusses that stricter wear-time requirements such as 12 hours can affect sample size and activity distributions.,12h/day sensitivity context,context_only_not_wrist_mims_validation,ready,"This source provides sensitivity-analysis context, not a universal standard for NHANES wrist MIMS or cancer survivorship.",Use only as rationale for retaining a stricter sensitivity rule.
wake_wear_12h_min4_project_review_decision,wake_wear_12h_min4,project_review_decision,local_review_artifact,Project protocol review sheet,Cancer Survivorship Knowledge Graphs project. Protocol review sheet generated by build_protocol_review.py.,docs/protocols/protocol_review_sheet.csv,"Protocol status: approved_sensitivity_rule. Reviewer comment: Accepted by project lead as stricter sensitivity completeness rule to test impact of requiring more complete wake-wear data; not an active/inactive, MVPA, sedentary, or clinical physical activity classification.",project approval status,local_project_review_support,ready,Local review approval is limited to completeness/sensitivity analysis and is not external clinical validation.,"Do not interpret as MVPA, sedentary, active/inactive, or clinical physical-activity classification."
valid_minutes_20h_min4_nhanes_2011_2012_paxvmd,valid_minutes_20h_min4,source_variable_definition,official_data_documentation,NHANES 2011-2012 Physical Activity Monitor documentation,National Center for Health Statistics. NHANES 2011-2012 Physical Activity Monitor documentation and codebook.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAXMIN_G.htm,NHANES day summary variable PAXVMD represents total valid minutes in the day.,source variable PAXVMD,direct_source_variable_support,ready,Supports the source variable meaning only; does not validate the threshold as a clinical or activity-intensity definition.,Use PAXVMD only as a valid minutes completeness input in this project.
valid_minutes_20h_min4_nhanes_2013_2014_paxvmd,valid_minutes_20h_min4,source_variable_definition,official_data_documentation,NHANES 2013-2014 Physical Activity Monitor documentation,National Center for Health Statistics. NHANES 2013-2014 Physical Activity Monitor documentation and codebook.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAXMIN_H.htm,NHANES day summary variable PAXVMD represents total valid minutes in the day.,source variable PAXVMD,direct_source_variable_support,ready,Supports the source variable meaning only; does not validate the threshold as a clinical or activity-intensity definition.,Use PAXVMD only as a valid minutes completeness input in this project.
