nhanes_code,nhanes_label,observed_count,ncit_code,ncit_preferred_label,ncit_iri,mapping_relation,mapping_status,confidence,review_note,review_decision,approved_relation,approved_ncit_code,approved_ncit_label,requires_clinical_note,reviewer_comment,reviewer_name,review_date
10,Bladder,26,C9334,Malignant Bladder Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9334,broadMatch,draft_candidate,medium,EVS search also returned Bladder Carcinoma C4912; malignant neoplasm is broader and better matches unknown histology.,accept_with_note,broadMatch,C9334,Malignant Bladder Neoplasm,yes,different histologic types,KAZAZIS,2026-08-23
11,Blood,5,C27134,Hematopoietic and Lymphoid Cell Neoplasm,https://evsexplore.semantics.cancer.gov/evsexplore/search?terminology=ncit&term=C27134&type=contains&fromRecord=0&pageSize=10&source=,broadMatch,manual_review_needed,high,"NHANES label is broad. EVS returned Liquid Tumor C116915, but this is too broad to assert without review.",accept_with_note,broadMatch,C27134,Hematopoietic and Lymphoid Cell Neoplasm,yes,"many types according to affected cells, genetics and molecular features, different prognosis and survival rates",KAZAZIS,2026-08-23
12,Bone,8,C4016,Malignant Bone Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4016,broadMatch,draft_candidate,medium,Broad anatomic cancer label; histology unknown.,accept_with_note,broadMatch,C4016,Malignant Bone Neoplasm,yes,includes primary and metastatic bone lesions,KAZAZIS,2026-08-23
13,Brain,6,C3568,Malignant Brain Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3568,broadMatch,draft_candidate,medium,Broad anatomic cancer label; histology unknown.,accept_with_note,broadMatch,C3568,Malignant Brain Neoplasm,yes,different histologic types,KAZAZIS,2026-08-23
14,Breast,168,C4872,Breast Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4872,closeMatch,draft_candidate,high,EVS phrase search returned Breast Carcinoma C4872 and Malignant Breast Neoplasm C9335; carcinoma is common but still needs review.,accept,closeMatch,C4872,Breast Carcinoma,no,,KAZAZIS,2026-08-23
15,Cervix (cervical),70,C9039,Cervical Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9039,closeMatch,draft_candidate,high,NHANES label is cervix/cervical; candidate is carcinoma-level.,accept,closeMatch,C9039,Cervical Carcinoma,no,,KAZAZIS,2026-08-23
16,Colon,68,C4910,Colon Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4910,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept,closeMatch,C4910,Colon Carcinoma,no,,KAZAZIS,2026-08-23
17,Esophagus (esophageal),8,C3513,Esophageal Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3513,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept,closeMatch,C3513,Esophagus (esophageal),no,,KAZAZIS,2026-08-23
18,Gallbladder,0,C3844,Gallbladder Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3844,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search; not observed in current cohort.,accept,closeMatch,C3844,Gallbladder Carcinoma,no,,KAZAZIS,2026-08-23
19,Kidney,22,C9384,Kidney Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9384,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept_with_note,broadMatch,C9384,Kidney Carcinoma,yes,different histologic types,KAZAZIS,2026-08-23
